,title,sector,website,phoneNumber,address
31,Prestige Properties,Real estate agency,prestigeproperties.net,+1 503-639-7220,"15390 SW 116th Ave, King City, OR 97224, United States"
32,Tigard Auto Body Repair by Ace Reconditioning,Auto body shop,acecars.net,+1 503-620-3593,"15785 SW 72nd Ave, Portland, OR 97224, United States"
33,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
34,Tigard Physical Therapy and Massage,Physical therapy clinic,tigardphysicaltherapy.com,+1 503-753-1537,"18019 SW Lower Boones Ferry Rd, Portland, OR 97224, United States"
35,SMTNW Inc,Machining manufacturer,smtnw.com,+1 503-598-8696,"16398 SW 72nd Ave, Portland, OR 97224, United States"
36,MP Lumber Inc,Contractor,mplumberinc.com,+1 503-747-6887,"15685 SW 116th Ave, Portland, OR 97224, United States"
37,Q10 National Mortgage Co,Commercial real estate agency,q10nmco.com,+1 503-270-5300,"15862 SW 72nd Ave Suite 200, Portland, OR 97224, United States"
38,Special Services Tactical,Security service,securityservices.agency,+1 562-842-4584,"3800 E Anaheim St, Long Beach, CA 90804, United States"
39,Gap - with Curbside Pickup,Clothing store,gap.com,+1 503-968-0118,"7393 SW Bridgeport Rd, Tigard, OR 97224, United States"
40,TZ Medical Inc,Medical equipment supplier,tzmedical.com,+1 800-944-0187,"17750 SW Upper Boones Ferry Rd #150, Portland, OR 97224, United States"
41,"Oregon Bolt, Inc",Fastener supplier,oregonbolt.com,+1 971-244-0800,"14965 SW 72nd Ave, Portland, OR 97224, United States"
42,Inspired Results,Business to business service,inspirenw.com,+1 503-906-4046,"15353 SW Sequoia Pkwy #100, Portland, OR 97224, United States"
43,Abs auto glass inc,Auto glass shop,absautoglasscompany.com,+1 503-888-0132,"1011 SE Maple St, Hillsboro, OR 97123, United States"
44,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
45,Bay View Building Maintenance,Janitorial service,bayviewbmi.com,+1 503-620-4669,"16250 SW Upper Boones Ferry Rd Bldg E, Portland, OR 97224, United States"
46,Doty Pruett Wilson PC,Accountant,dpwcpas.com,+1 503-362-9152,"6950 SW Hampton St #311, Tigard, OR 97223, United States"
47,D.A. Davidson & Co.,Financial planner,dadavidson.com,+1 503-619-4950,"2 Centerpointe Dr #325, Lake Oswego, OR 97035, United States"
48,Portland Compressor,Air compressor supplier,portlandcompressor.com,+1 800-542-8300,"7440 SW Bonita Rd, Portland, OR 97224, United States"
49,Burgess-Philips Inc,Repair service,burgess-philips.com,+1 503-293-7817,"8319 SW Oak St, Portland, OR 97223, United States"
50,Import Hardwood Solutions,Lumber store,imporths.com,+1 503-913-7721,"11225 SW Clay St Building B, Suite #5, Sherwood, OR 97140, United States"
51,Consolidated Supply Co.,Plumbing supply store,consolidatedsupply.com,+1 503-620-7050,"7337 SW Kable Ln, Tigard, OR 97224, United States"
52,Vitality NW: Natural Medicine Clinic,Medical clinic,vitalitynw.com,+1 503-344-1345,"7455 SW Bridgeport Rd E240, Tigard, OR 97224, United States"
53,Atiyeh Bros. Retail Showroom & Rug Cleaning Drop-Off,Rug store,atiyehbros.com,+1 503-639-8642,"6750 SW Bonita Rd, Tigard, OR 97224, United States"
54,Pioneer Waterproofing Co Inc,General contractor,pioneerwaterproofing.com,+1 503-232-9020,"14830 SW 72nd Ave, Tigard, OR 97225, United States"
55,Empire Batteries Inc,Battery store,empirebatteriesor.com,+1 503-639-5515,"7320 SW Bonita Rd, Tigard, OR 97224, United States"
56,Portland Automotive,,portlandautomotiveinc.com,+1 503-249-7316,"8010 NE Sandy Blvd, Portland, OR 97213, United States"
57,Creative Home Remodeling,Cabinet maker,creativehomeremodeling.com,+1 503-639-2411,"7350 SW Landmark Ln, Portland, OR 97224, United States"
58,Miss Hannahs Gourmet Popcorn,Popcorn store,misshannahspopcorn.com,+1 971-264-0707,"7407 SW Bridgeport Rd K5, Portland, OR 97224, United States"
59,Even Construction,Home builder,evenconstruction.com,+1 503-806-4795,"9900 SW Sattler St, Portland, OR 97224, United States"
60,Pacific Star Communications Inc,Telecommunications equipment supplier,pacstar.com,+1 503-403-3000,"15055 SW Sequoia Pkwy # 100, Portland, OR 97224, United States"
61,Bridgeport Smiles Family Dentistry,Dental clinic,bridgeportsmilesfamilydentistry.com,+1 503-747-3689,"7455 SW Bridgeport Rd #230, Portland, OR 97224, United States"
62,"Integrated Services, Inc.",Corporate office,ints.com,+1 800-922-3099,"15115 SW Sequoia Pkwy #110, Portland, OR 97224, United States"
63,"Tiny Homes for Sale - Portland, Oregon",Custom home builder,tinyhouselistings.com,,"365 2nd St #53, Lake Oswego, OR 97034, United States"
64,"Air Filters Northwest, Inc.",Corporate campus,airfiltersnw.com,+1 888-968-2369,"16140 SW 72nd Ave, Portland, OR 97224, United States"
65,Tandem Technology,Alternative medicine practitioner,tandem-tech.com,+1 503-906-4357,"7233 SW Kable Ln, Portland, OR 97224, United States"
66,Sterling Talent Inc,Entertainment agency,sterlingtalent.com,+1 503-590-5840,"Tigard, OR 97281, United States"
67,Luxury Sport Autos,Used car dealer,luxurysportauto.com,+1 503-567-1360,"7325 SW Bonita Rd, Tigard, OR 97224, United States"
68,"1525, Inc.",Screen printer,1525.co,+1 503-347-9338,"14865 SW 74th Ave Suite 190, Tigard, OR 97224, United States"
69,Master Eric's World Champion Taekwondo,Martial arts school,wcttigard.com,+1 503-431-2034,"15660 SW Pacific Hwy, Tigard, OR 97224, United States"
70,Summit Reconstruction & Restoration,Construction company,summitreconstruction.com,+1 503-451-3544,"7215 SW Bonita Rd, Tigard, OR 97224, United States"
71,Tax Services Inc,Tax preparation service,tsitax.com,+1 503-670-1940,"7352 SW Durham Rd, Tigard, OR 97224, United States"
72,Always At Home Care Inc,Home health care service,alwaysathomecare.net,+1 503-431-6750,"15405 SW 116th Ave #201, Portland, OR 97224, United States"
73,Save On Tires,Tire shop,saveontires.net,+1 503-608-7230,"14529 SW 72nd Ave, Tigard, OR 97224, United States"
74,Bench Craft Company,Marketing agency,benchcraftcompany.com,+1 800-824-8311,"7216 SW Durham Rd #200, Portland, OR 97224, United States"
75,Stash Tea Shop,Tea store,stashtea.com,+1 503-603-9905,"16655 SW 72nd Ave #200, Portland, OR 97224, United States"
76,Peet's Coffee,Coffee shop,peets.com,+1 503-684-2726,"7471 SW Bridgeport Rd building g, Tigard, OR 97224, United States"
77,Refa Steel Erectors,Steel fabricator,refainc.com,+1 503-684-1158,"14255 SW 72nd Ave, Tigard, OR 97224, United States"
78,"Allied Building Products, A Beacon Roofing Supply Company",Building materials supplier,alliedbuilding.com,+1 503-639-1579,"11440 SW Tiedeman Ave, Tigard, OR 97223, United States"
79,The Egg Drop,Egg supplier,eggdroppdx.com,+1 503-662-2102,
80,"TODD Construction, Inc",General contractor,toddconstruction.com,+1 503-620-7652,"18407 SW Boones Ferry Rd, Portland, OR 97224, United States"
81,MALVA. house of hair,Hair salon,malvahouse.com,+1 206-940-2954,"18081 SW Lower Boones Ferry Rd, Portland, OR 97224, United States"
82,Tax Services Inc,Tax preparation service,tsitax.com,+1 503-670-1940,"7352 SW Durham Rd, Tigard, OR 97224, United States"
83,DUNCAN GILMAN,Media company,duncangilman.com,+1 503-452-6980,"10260 SW Greenburg Rd #484, Tigard, OR 97223, United States"
84,Atlas Laboratories,General contractor,atlaslabsinc.com,+1 503-376-8832,"14795 SW 72nd Ave Suite B, Tigard, OR 97224, United States"
85,Tualatin Valley Painting Inc,Painting,tvpainting.com,+1 503-579-8201,
86,Property Group of CT Inc,Property management company,thepropertygroup.net,+1 203-967-8337,"25 Crescent St, Stamford, CT 06906, United States"
87,Johansen Electric,Contractor,johansenelectric.com,+1 503-747-2503,"16869 SW 65th Ave, Lake Oswego, OR 97035, United States"
88,Smooth Move People,Mover,smoothmovepeople.net,+1 503-232-6099,"701 SE Woodward St, Portland, OR 97202, United States"
89,Lori Heidrich | Fairway Independent Mortgage Corporation Loan Officer,Mortgage lender,fairwayindependentmc.com,+1 503-853-9591,"6650 SW Redwood Ln Suite 215, Portland, OR 97224, United States"
90,Bridgeport Distribution Inc,Logistics service,bridgeportdistribution.com,+1 503-620-6977,"15705 SW 72nd Ave, Portland, OR 97224, United States"
91,Oregon Business Forms Inc,Print shop,espwebsite.com,+1 503-774-3804,"9144 SE 67th Ave, Portland, OR 97206, United States"
92,Goody Man Distributing Inc,Distribution service,goodymandistributing.com,+1 503-612-8664,"16596 SW 72nd Ave, Portland, OR 97224, United States"
93,"Noble Motors, Inc.",Auto repair shop,noblemercedes.com,+1 503-431-2369,"7335 SW Childs Rd, Portland, OR 97224, United States"
94,"Shamrock Building Materials, Inc.",Import export company,shamrockbm.com,+1 503-643-8800,"9115 SW Oleson Rd Suite 300, Portland, OR 97223, United States"
95,U.S. World Class Taekwondo Tigard,Martial arts school,martialartstigard.com,+1 503-968-0500,"16200 SW Pacific Hwy, Tigard, OR 97224, United States"
96,"Brighton Electronics, Inc.",Electronic parts supplier,beimeter.com,+1 503-624-7116,"16732 SW 72nd Ave, Portland, OR 97224, United States"
97,Lindquist Glass,Glass manufacturer,lindquistglass.com,+1 503-620-3615,"16358 SW 72nd Ave, Portland, OR 97224, United States"
98,NorthWest Valve Block Supply,Corporate office,business.site,+1 503-620-8381,"18143 SW Boones Ferry Rd, Tigard, OR 97224, United States"
99,CIDA Inc,Architect,cidainc.com,+1 503-226-1285,"15895 SW 72nd Ave # 200, Portland, OR 97224, United States"
100,Superior Community Management,Property management company,superiorcommunity.com,+1 503-684-1832,"17400 SW Upper Boones Ferry Rd #250, Portland, OR 97224, United States"
101,Encompass Logistics,Delivery service,encompasslogistics.net,+1 604-522-3277,"1647 Derwent Way, Delta, BC V3M 6K8, Canada"
102,Pike Awning Co,Awning supplier,pikeawning.com,+1 503-624-5600,"7300 SW Landmark Ln, Portland, OR 97224, United States"
103,Cascade Sales,Manufacturer,cascade-sales.com,+1 503-626-7978,"7350 SW Landmark Ln # 116, Portland, OR 97224, United States"
104,Pure Floors Inc,Floor sanding and polishing service,purefloorsinc.com,+1 503-308-8734,"7228 SW Durham Rd #800, Portland, OR 97224, United States"
105,Tualatin Valley Painting Inc,Painting,tvpainting.com,+1 503-579-8201,
106,Barrier Corporation,Plastic fabrication company,barriercorp.com,+1 503-639-4192,"9806 SW Tigard St, Portland, OR 97223, United States"
107,Lindsey Williams Photography,Photographer,lindseywilliamsphotography.com,+1 971-322-7657,"Tigard, OR 97224, United States"
108,May Auto Sales,Used car dealer,mayauto.net,+1 503-968-1111,"15280 SW Pacific Hwy, Tigard, OR 97224, United States"
109,Michael Holton - State Farm Insurance Agent,Insurance agency,michaelholton.com,+1 503-517-9090,"6420 S Macadam Ave Ste 208, Portland, OR 97239, United States"
110,Plumbline Drywall,Main customs office,plumblinedrywall.com,+1 503-521-7985,"7235 SW Bonita Rd, Tigard, OR 97224, United States"
111,Curtis-E Carpet Cleaning,Carpet cleaning service,curtisecarpets.com,+1 503-638-2025,
112,Delta Fire Inc,Fire protection service,deltafire.com,+1 503-620-4020,"14795 SW 72nd Ave, Portland, OR 97224, United States"
113,Desserts of Distinction,Dessert restaurant,m.facebook.com,+1 503-654-8370,"14345 SW Pacific Hwy, Tigard, OR 97224, United States"
114,TVT Die Casting & Manufacturing Inc,Foundry,tvtdiecast.com,+1 503-639-3850,"7330 SW Landmark Ln, Portland, OR 97224, United States"
115,"Gingerbread Traditions, Inc.",Wholesale bakery,gingerbreadtraditions.com,+1 503-941-5176,"16578 SW 72nd Ave, Portland, OR 97224, United States"
116,"United Waste Disposal, Inc.",Demolition contractor,unitedwastedisposal.com,+1 503-516-7475,
117,ON1,Software company,on1.com,,"15333 SW Sequoia Pkwy # 150, Portland, OR 97224, United States"
118,Allied Health Services of Tigard,Addiction treatment center,portlandctc.com,+1 971-249-8756,"10763 SW Greenburg Rd&nbsp #100, Tigard, OR 97223, United States"
119,Farmers Insurance - Matt Schoenecker,Insurance agency,agents.farmers.com,+1 503-863-5807,"17020 SW Upper Boones Ferry Rd Ste 302, Portland, OR 97224, United States"
120,"Columbia Consulting Group, LLC.",Marketing consultant,columbiaconsultinggroupllc.com,+1 503-706-5355,
121,"NorthWest Engineering Service, Inc.",Engineering consultant,nwesi.com,+1 503-639-7525,"7000 SW Redwood Ln, Tigard, OR 97224, United States"
122,Bosky Dell Natives,Plant nursery,boskydellnatives.com,+1 503-638-5945,"23311 SW Bosky Dell Ln, West Linn, OR 97068, United States"
123,Clear Choice Windows & Doors Inc.,Window installation service,clearchoiceconstruction.com,+1 503-643-3887,"7244 SW Durham Rd Suite 900, Tigard, OR 97224, United States"
124,"A Peace of Mind Landscape, Inc.",Landscaper,apeaceofmindlandscape.com,+1 503-670-4887,
125,Crawford & Co,Financial consultant,crawfordandcompany.com,+1 503-443-1584,"12725 SW 66th Ave, Portland, OR 97223, United States"
126,FaxBack,Fax service,faxback.com,+1 503-597-5350,"7007 SW Cardinal Ln #105, Portland, OR 97224, United States"
127,Interior Motives Accents Inc,,interior-motives.com,+1 503-684-2790,"11875 SW Pacific Hwy, Portland, OR 97223, United States"
128,SLS Custom Homes Inc,Home builder,slshomes.com,+1 503-691-9878,"15575 SW 74th Ave, Tigard, OR 97224, United States"
129,"Pragmatic Labs, Inc",Software company,pragmaticlabs.com,+1 503-893-5749,"10580 SW McDonald St #106, Portland, OR 97224, United States"
130,Greater Portland Inc,Economic development agency,greaterportlandinc.com,+1 503-445-8065,"111 SW Columbia St #1170, Portland, OR 97201, United States"
131,Kinetic Technology Solutions,Computer training school,kinetictechsolutions.com,+1 503-520-0555,"15495 SW Sequoia Pkwy #100, Portland, OR 97224, United States"
132,Packaging Specialties,Wholesaler,pkgspec.com,+1 503-620-3711,"7319 SW Kable Ln, Tigard, OR 97224, United States"
133,NW Surface Cleaner,Roofing contractor,nwsurfacecleaner.com,+1 503-598-0724,"8162 SW Durham Rd, Portland, OR 97224, United States"
134,Robertson Grating Products Inc,Metal supplier,rgpgrates.com,+1 877-638-6365,"18129 SW Boones Ferry Rd building 6, Portland, OR 97224, United States"
135,Pacific Crest Structures,General contractor,pacificcrestweb.com,+1 503-968-8949,"Boones Fry, 17750 SW Upper Dr #190, Portland, OR 97224, United States"
136,"Edward Jones - Financial Advisor: Holly K McNeil, CFP®",Financial consultant,edwardjones.com,+1 503-624-6001,"11535 SW Durham Rd Ste C-2, Tigard, OR 97224, United States"
137,"Slater & Associates Insurance, Inc.",Insurance agency,slaterinsurance.com,+1 503-624-0466,"16850 SW Upper Boones Ferry Rd Suite B, Tigard, OR 97224, United States"
138,G&H Healthcare,Health consultant,gandhhealthcare.com,+1 888-984-7277,
139,ITS Global Relocation Services,Mover,itsglobalrelo.com,+1 503-444-8811,"6713 SW Bonita Rd Suite 250, Tigard, OR 97224, United States"
140,Poly-Cast Inc,Plastic injection molding service,poly-cast.com,+1 503-620-9850,"14140 SW 72nd Ave, Tigard, OR 97224, United States"
141,"Foote Sports Productions Inc, Hood To Coast Relay",Event management company,hoodtocoast.com,+1 503-292-4626,"9655 SW Sunshine Ct #500, Beaverton, OR 97005, United States"
142,Beyond Wealth Management,Financial planner,lifebeyondwealth.com,+1 971-317-7015,"7455 SW Bridgeport Rd #220, Tigard, OR 97224, United States"
143,S L Follen Co,Exporter,slfollen.com,+1 503-222-6164,"2188 SW Park Pl #103, Portland, OR 97205, United States"
144,Northwest Textbook Depository,Distribution service,nwtd.com,+1 503-906-1100,"17970 SW McEwan Rd, Portland, OR 97224, United States"
145,Pioneer Waterproofing Co Inc,General contractor,pioneerwaterproofing.com,+1 503-232-9020,"14830 SW 72nd Ave, Tigard, OR 97225, United States"
146,"Rose City Distilling, Co.",Distillery,rosecitydistilling.com,+1 503-620-0313,"7272 SW Durham Rd, Portland, OR 97224, United States"
147,Evans Components Inc.,Corporate office,evanscomponents.com,+1 971-249-1600,"7606 SW Bridgeport Rd, Portland, OR 97224, United States"
148,Paul Barton - State Farm Insurance Agent,Insurance agency,insurebarton.com,+1 503-684-1904,"18041 SW Lower Boones Ferry Rd ste 5, Tigard, OR 97224, United States"
149,Mt. Woodson Golf Club,Public golf course,mtwoodsongolfclub.com,+1 760-788-3555,"16422 N Woodson Dr, Ramona, CA 92065, United States"
150,"X-Tirp, Inc.",Landscaper,x-tirp.com,+1 209-518-5477,
151,Finlandia Sauna Products Inc,Manufacturer,finlandiasauna.com,+1 503-684-8289,"14010 SW 72nd Ave # B, Portland, OR 97224, United States"
152,Walton Physical Therapy & Sports Medicine,Physical therapy clinic,waltonpt.com,+1 503-639-2118,"18122 SW Lower Boones Ferry Rd, Tigard, OR 97224, United States"
153,Dahlia Home Renovations,General contractor,dahliarenovations.com,+1 503-875-0481,
154,Northwest Home Concierge,General contractor,nwhomeconcierge.com,+1 503-313-3248,"9790 SW Riverwood Ln, Tigard, OR 97224, United States"
155,"Motus Recruiting & Staffing, INC.",Employment agency,motusrecruiting.com,+1 503-496-1310,"6650 SW Redwood Ln #355, Tigard, OR 97224, United States"
156,Ambient Sky,Photographer,ambientsky.com,+1 503-318-4265,
157,Gallops Saddlery,Tack shop,gallopssaddlery.com,+1 503-639-6347,"17937 SW McEwan Rd, Tigard, OR 97224, United States"
158,Real Property Management Solutions,Property management company,realpmsolutions.com,+1 503-224-3002,"10725 SW Barbur Blvd #200, Portland, OR 97219, United States"
159,Garry F Liday Corporation,Financial planner,garryliday.com,+1 503-620-3531,"15405 SW 116th Ave # 103A, Portland, OR 97224, United States"
160,5 Level Solutions,Consultant,5levelsolutions.com,+1 503-799-8868,
161,1st Learn To Drive,Driving school,1stlearntodrive.com,+1 503-509-0870,
162,RMLS,Real estate agency,rmlscentral.com,+1 503-236-7657,"16101 SW 72nd Ave #200, Portland, OR 97224, United States"
163,ESOGA - Esports & Online Gaming Association,Software company,esoga.gg,,
164,Wu's Open Kitchen,Chinese restaurant,wusopenkitchens.com,+1 503-620-8899,"15660 SW Pacific Hwy, Tigard, OR 97224, United States"
165,"TODD Construction, Inc",General contractor,toddconstruction.com,+1 503-620-7652,"18407 SW Boones Ferry Rd, Portland, OR 97224, United States"
166,Farmers Insurance - Rusty Houston,Insurance agency,agents.farmers.com,+1 503-372-9543,"15350 SW Sequoia Pkwy Ste 195, Portland, OR 97224, United States"
167,JSE Labs Inc. — Tigard,Environmental consultant,jselabs.com,+1 971-266-7545,"15695 SW 74th Ave Suite 350, Tigard, OR 97224, United States"
168,Miratron,Electronics,miratron.com,+1 503-352-0654,"16420 SW 72nd Ave, Portland, OR 97224, United States"
169,Multifamily NW (formerly Metro Multifamily Housing Association),Non-profit organization,multifamilynw.org,+1 503-213-1281,"16083 SW Upper Boones Ferry Rd #105, Tigard, OR 97224, United States"
170,Commonwealth Homeowner Services Inc.,Real estate agency,cwres.com,+1 503-244-2300,"18150 SW Boones Ferry Rd, Portland, OR 97224, United States"
171,Hub Group Trucking,Trucking company,hubgroup.com,+1 503-240-1745,"8324 NE Martin Luther King Jr Blvd, Portland, OR 97211, United States"
172,Pacific Contracting Inc,Asphalt contractor,pacificcontractinginc.com,+1 503-313-7763,"19756 Cypresswood St, Oregon City, OR 97045, United States"
173,Columbiasoft‎,Software company,documentlocator.com,+1 503-274-0504,"15495 SW Sequoia Pkwy Suite 190, Portland, OR 97224, United States"
174,OrthoMed Inc.,Surgical products wholesaler,orthomedinc.com,+1 800-547-5571,"14875 SW 72nd Ave, Tigard, OR 97224, United States"
175,District Painting Company,Painter,districtpaintingco.com,+1 503-560-7662,"7235 SW Bonita Rd, Tigard, OR 97224, United States"
176,"RapidMade Inc - 3D Printing, Thermoforming, Custom Manufactured Parts, Engineering and 3D Scanning",3D printing service,rapidmade.com,+1 503-943-2781,"15883 SW 72nd Ave #7960, Portland, OR 97224, United States"
177,Design Ward Inc,Graphic designer,designward.com,+1 503-570-4278,"29432 SW Baker Rd, Sherwood, OR 97140, United States"
178,Financial Investment Team,Financial planner,fi-team.com,+1 503-906-5205,"15350 SW Sequoia Pkwy #150, Portland, OR 97224, United States"
179,Brain Rehab Network,Business management consultant,brainrehabnetwork.com,+1 503-941-9869,
180,Bridgeport Village Financial Center,Financial consultant,wsbcampaign.com,+1 503-684-4010,"7421 SW Bridgeport Rd #225, Portland, OR 97224, United States"
181,Stash Tea Company,Corporate campus,square.site,+1 503-684-4482,"16655 SW 72nd Ave #200, Tigard, OR 97224, United States"
182,"Knipe Realty NW, Inc : Mahmood TahanPesar",Real estate agents,ownpdx.com,+1 503-966-9394,"7420 SW Bridgeport Rd #210, Portland, OR 97224, United States"
183,Grocery Outlet,Grocery store,groceryoutlet.com,+1 503-968-8991,"15705 SW 116th Ave, King City, OR 97224, United States"
184,Environmental Controls Corp.,HVAC contractor,eccoregon.com,+1 503-620-4228,"15954 SW 72nd Ave, Tigard, OR 97224, United States"
185,"Cultural Gateways, Inc.",,culturalgateways.com,+1 503-782-0121,"23575 Sandlake Rd, Cloverdale, OR 97112, United States"
186,Factory Expo Home Centers,Mobile home dealer,factoryexpo.net,+1 800-828-1713,"2555 Progress Way, Woodburn, OR 97071, United States"
187,Trinity Flooring - Portland,Flooring store,trinityflooring.biz,+1 503-667-2200,"15500 SW 72nd Ave #200, Portland, OR 97224, United States"
188,AG Construction & Renovation INC,Construction company,business.site,+1 503-332-3926,"16474 SW Roy Rogers Rd, Tigard, OR 97224, United States"
189,Julie Miller Coaching,Life coach,juliemillercoaching.com,,
190,Tigard Ace Hardware,Hardware store,acehardware.com,+1 503-596-2090,"16200 SW Pacific Hwy, Tigard, OR 97224, United States"
191,NuScale Power,Nuclear power company,nuscalepower.com,+1 971-371-1592,"6650 SW Redwood Ln #210, Portland, OR 97224, United States"
192,A Williams Florist,Florist,tigardflowershop.com,+1 503-684-8813,"10190 SW View Terrace, Tigard, OR 97224, United States"
193,Oak Furniture,Furniture store,oakonline.com,+1 503-747-6355,"Tigard, OR 97224, United States"
194,Western Outdoor Wholesale Inc,Wholesaler,westernoutdoor.com,+1 503-620-8027,"7233 SW Kable Ln # 100, Tigard, OR 97224, United States"
195,Commonwealth Commercial Brokerage Company: Loren Landau,Real estate agents,cwbrokers.com,+1 503-244-2300,"18150 SW Boones Ferry Rd, Portland, OR 97224, United States"
196,Rite Aid,Drug store,riteaid.com,+1 503-697-0990,"90 B Ave, Lake Oswego, OR 97034, United States"
197,Appleton Properties Inc,Property management company,cwres.com,+1 503-684-1502,"18150 SW Boones Ferry Rd, Portland, OR 97224, United States"
198,Luxury Sport Marine,Boat dealer,luxurysportmarine.com,+1 503-407-6498,"7325 SW Bonita Rd #200, Tigard, OR 97224, United States"
199,DPI Northwest,Food manufacturer,dpispecialtyfoods.com,+1 503-692-0662,"12360 SW Leveton Dr, Tualatin, OR 97062, United States"
200,"Cundiff Engineering, Inc.",Engineering consultant,cundiffmep.com,+1 503-521-7260,"7007 SW Cardinal Ln, Portland, OR 97224, United States"
201,GeoPacific Engineering Inc,Engineer,geopacificeng.com,+1 503-598-8445,"14835 SW 72nd Ave, Tigard, OR 97224, United States"
202,Willamette Power Roofing,Roofing contractor,willametteroof.com,+1 503-638-4400,"17019 SW Rivendell Dr, Portland, OR 97224, United States"
203,Royal Moving & Storage Inc.,Mover,royalmovingco.com,+1 503-483-6320,"12705 SW Bull Mountain Rd, Portland, OR 97224, United States"
204,Bridgeport Distribution Inc,Logistics service,bridgeportdistribution.com,+1 503-620-6977,"15705 SW 72nd Ave, Portland, OR 97224, United States"
205,Tigard Life,Newspaper publisher,tigardlife.com,+1 503-692-9215,
